node_id	feature	label	feature_dim	2089
0	71,84,254,296,302,444,474,485,493,571,626,649,665,706,739,760,773,829,867,981,1012,1099,1123,1324,1373,1388,1397,1513,1514,1519,1671,1788,1826,1932,1940,2014,2037	1
1	83,84,215,326,331,474,485,561,571,575,692,699,746,749,751,798,858,866,1045,1099,1382,1459,1537,1616,1699,1725,1746,1874,1916,1984,2041,2080	3
2	1959	0
3	732,2078	0
4	133,183,329,449,514,587,722,740,846,855,1013,1020,1159,1283,1517,1660,1708,1778,1823,1959	4
5	1015,1129	0
6	857,1045,1118,1129,1139,1388	2
7	205,372,442,1803,1804	0
8		0
9	75,127,237,351,442,542,647,649,1174,1216,1803	2
10	75,206,302,583	1
11	101,229,356,455,485,522,709,730,905,1120,1293,1336,1487,1631,1766,1804,1843,1886,1914,1978,2056	2
12	35,188,228,230,295,352,634,811,1129,1199,1216,1274,1321,1327,1330,1706,1783,1843,1858,1917	4
13	27,127,144,208,265,382,384,404,453,480,500,597,626,675,747,782,825,981,1012,1020,1035,1204,1236,1316,1338,1356,1374,1388,1397,1485,1511,1552,1660,1699,1843,1886,1931	3
14	433,975,1090,1293,1479,1579,1813	0
15	230,316,1903,1904,1934	0
16	13,25,379,411,519,530,566,607,649,661,689,803,1302,1319,1826,1848,1923	4
17	208,506,524,527,1017,1171,1207,1217,1774,1924,2057	1
18	352,617,791,1159,1301,1407,1663,1783,2070	1
19	3,75,174,188,190,205,259,261,300,321,345,419,489,510,522,556,626,629,650,665,770,798,835,892,1079,1099,1106,1118,1416,1418,1490,1521,1534,1589,1755,1783,1803,1882,1914,1961,2006,2020	1
20	127,145,218,219,453,613,720,792,793,1029,1035,1079,1114,1182,1197,1245,1376,1450,1503,1660,1763,1803,1932	0
21	557,566,765,829,1108,1171,1253,1274,1277,1323,1386,1445,1495,1554,1744,1875,1878,2074	2
22	8,140,233,454,607,649,741,800,931,992,1159,1837,1908,2017	1
23	101,165,174,186,386,414,449,478,503,613,626,699,811,819,926,936,953,955,981,1005,1018,1182,1199,1321,1376,1513,1686,1708,1895,1959,1977,2055,2076	2
24	1531,2021	1
25	384,1276,1419	2
26	255,527,557,649,930,1045,1288,1293,1487,1513,1519,1612	2
27	917,1600,1643,1857	0
28	699,1159,2010	1
29	206,339,825,1045,1046	3
30	634,668,762,905,1035,1098,1568,1599,1760,1908,2038	0
31	283,1013,1035,1252,1307,1336,1342	4
32	129,532,846,1783	0
33	557,583	0
34	208,331,689,711,1392,1829,2082	1
35	51,84,113,120,285,511,699,1046,1049,1302,1362,1877,1884,1897,1900,1971,2048	0
36	0,798,1015,1060,1139,1270,1295,1374,1402,1450,1543,1706,1951	1
37	83,133,310,405,503,504,514,518,566,603,663,778,791,826,829,846,870,1326,1479,1603,1673,1768,1803,1804,1960	3
38	11,13,17,43,51,65,72,117,129,136,152,161,184,223,250,261,271,357,373,375,382,433,438,446,447,449,474,503,529,559,617,661,668,759,790,804,815,841,858,867,868,890,894,908,959,995,1003,1024,1093,1121,1136,1174,1216,1236,1238,1250,1260,1294,1303,1308,1321,1326,1378,1423,1496,1498,1521,1548,1586,1615,1673,1674,1689,1733,1756,1766,1793,1816,1827,1864,1875,1881,1904,1906,1910,1975,1990,2002,2014,2023,2038,2064	4
