node_id	feature	label	feature_dim	602
0	63,463,510	1
1	332,429,579	0
2	21,115,196,298,356,419,446,494	2
3	51,201,263,324,385,488,566,579	2
4	225,315,352	2
5	25,225,239,425,449,531,539,601	2
6	21,122,132,196,234,343,524	2
7	21,558	2
8	403	2
9	60,66,363	2
10	122,196,234	2
11	122,278,368	2
12	278	2
13	91,238,310,420	2
14	122,196,198,234,356	2
15	46,122,196,365,579	2
16	50,196,234,419	2
17	74,122,141,196,234	2
18	204,344,393,425,518,531	2
19	21,122,196,234	2
20	21,29,62,122,169,196,228,234,343	2
21	74,122,141,196,234,404,579	2
22	78,122,196,234,380	2
23	21,26,122,196,234	2
24	97,234,240,342,365,401,446	2
25	18,51,91,201,214,394,507,566	2
26	8,21,82,167,224,263,347,425,495,579,601	2
27	51,130,147,348,425,507	2
28	46,249,365,404,507	2
29	126,147,214,237,570	2
30	26,147,214,275,348,355,359	2
31	196,234,251,347,365	2
32	50,122,196	2
33	196,234,350,412	2
34	46,201,350,516	2
35	140,201,256,303,350,444,516	2
36	21,46,96,161,201	1
37	21,122,343	2
38	46,78,107,122,196,234,518	2
39	122,194,196,234,343,345,349	2
40	52,122,196,226,343,445	2
41	13,45,78,196,234,419,428	2
42	237,340,356,477	2
43	147,180,342,582	2
44	21,25,57,76,122,196,234,298	2
45	21,76,122,196,234,579	2
46	181,330,423,439	2
47	74,151,226,404,425	2
48	26,54,97,134,348,494,516	2
49	29,51,201,241,504,507,566	2
50	53,87,142,179,495,579	2
51	147,214,393,446,495	2
52	134,340,425,494	2
53	507	2
54	117,122,196,234,254,330,350,556,579	2
55		2
56	300,344,552	2
57	45,94,143,186,440,570	2
58	186,205,571	2
59	18,161,185	2
60	82,89,134,495,579	2
61	214,234,340	2
62	23,29,45,234	2
63	52,386,389	2
64	26,78,79,340,342,372	2
65	53,78,122,196,234,365	2
66	98,182	2
67	458	2
68	147,495,524,535	2
69	147,317,495,575	2
70	70,237,455,459	2
71	122,141,253,355,494	2
72	46,238,306,350,363,365,446	2
73	21,62,78,122,196,234	2
74	46,203,347,355	2
75	122,196,234,365,446,518	2
76	78,168,196,238,275,363	2
77	21,122,343	2
78	21,67,122,196,197,234,367	2
79	21,122,196,234,343	2
80	21,46,122,196,223,234,343,524	2
81	52,160,368,466,484	2
82	288	2
83	54,181,404,423,464	2
84	147,259,266,466,531	2
85	45,126,203,419,425,465,524,555	2
86	134,272,340,425,494	2
87	80,147,238,531	2
88	99,320	2
89	29,280,472	2
90	5,9,52	2
91	238,313,348,446,464,505,543	2
92	46,122,154,196,234,349,365,579	3
93	50,196,234,419	2
94	54,352	2
95	147,171,360,495	2
96	262,495,496	2
97	262,302,479,496	2
98	46,53,86,179,234,300,365	2
99	17,239,392,444,529	2
100	46,238,348,363,369,370,444	2
101	141,147,196,234,239,494	2
102	122,238,348,363,472	2
103	23,45,141,143,343,534	2
104	45,78,521,581	2
105	74,122,141,196,234,264,340,367	2
106	238,313,348,446,464,505,543	2
107	54,172,352,367,427,505	0
108		2
109	13,74,81,358,425,439,579	2
110	13,74,81,358,425,439,579	2
111	135,168,425	2
112	18,132,240,271,302,404,425,479,530,531	2
113	53,122,290,300,344,539	2
114	186,205,571	2
115	30,78,122,196,234	2
116	66,141,412,417,445	2
117	7,60	2
118	122,123,196,234,241	2
119	52,196,419,503	2
120	78,196,234,315,367,419,556	2
121	3,22,52,54,97,196,234,265,556,565,593	2
122	122,340,343,359,472	2
123	238,313,348,446,464,505,543	2
124	78,79,234,264	2
125	53,199,264,278,425	2
126	199,278,425,533	2
127	52,386,389	2
128	76,196,234,419	2
129	62,76,122,196,234,579	2
130	45,234,275,363,443,444,446	2
131	46,154,194,238,276,343,365,446	2
132	17,306,365,446,478,601	2
133	53,105,214,234,365,380,579	2
134	214,234,350,365,380,509	2
135	54,66,352	2
136	66,339,543	2
137	33,270,579	2
138	6,7,132,347,414,425,494	2
